matrix,backend,ranks,best_solver_s,median_solver_s,max_solver_s,best_iterations,best_iteration_us,gflops_per_gpu,best_allreduce_us,n_trials,n_jobs,best_source
Queen_4147,acg-cg-nvshmem,8,18.09443,18.245652,18.385082,26264.0,688.944182150472,127.09575994615471,55.183152484294695,7,3,acg-results/acg-cg-nvshmem/suitesparse/Queen_4147/Queen_4147-rtol-1e-6-002-nodes-0008-procs-55399443-2-stderr.txt
Queen_4147,acg-cg-nvshmem,16,14.641638,15.020775,15.261105,25862.0,566.1448457195886,77.33174153142906,76.73228163786104,9,3,acg-results/acg-cg-nvshmem/suitesparse/Queen_4147/Queen_4147-rtol-1e-6-004-nodes-0016-procs-55399456-2-stderr.txt
Queen_4147,acg-cg-nvshmem,32,14.677332,14.875401,15.130225,26150.0,561.2746462715105,39.00136003725848,107.23368131237811,9,3,acg-results/acg-cg-nvshmem/suitesparse/Queen_4147/Queen_4147-rtol-1e-6-008-nodes-0032-procs-55399445-3-stderr.txt
Queen_4147,acg-cg-oshmpi,2,48.310523,48.916715,51.011907,26087.0,1851.9002951661748,189.12876933565798,26.831110088929773,9,3,acg-results/acg-cg-oshmpi/suitesparse/Queen_4147/Queen_4147-rtol-1e-6-001-nodes-0002-procs-56216574-2-stderr.txt
Queen_4147,acg-cg-oshmpi,4,26.165186,26.588406,26.673843,26202.0,998.594992748645,175.3701801864126,27.648055566156547,9,3,acg-results/acg-cg-oshmpi/suitesparse/Queen_4147/Queen_4147-rtol-1e-6-001-nodes-0004-procs-56216581-2-stderr.txt
Queen_4147,acg-cg-oshmpi,8,15.902366,16.26468,16.575626,25712.0,618.480320472931,141.57597206293076,30.94205265818847,9,3,acg-results/acg-cg-oshmpi/suitesparse/Queen_4147/Queen_4147-rtol-1e-6-002-nodes-0008-procs-56216582-2-stderr.txt
Queen_4147,acg-cg-oshmpi,16,11.665915,11.810673,11.924574,25948.0,449.5882148913211,97.38013605261568,33.045647231107175,9,3,acg-results/acg-cg-oshmpi/suitesparse/Queen_4147/Queen_4147-rtol-1e-6-004-nodes-0016-procs-56216590-1-stderr.txt
Queen_4147,acg-cg-oshmpi,32,9.603186,9.864026,10.046595,26007.0,369.2538931826047,59.2830010675103,34.345066902491546,9,3,acg-results/acg-cg-oshmpi/suitesparse/Queen_4147/Queen_4147-rtol-1e-6-008-nodes-0032-procs-56216591-3-stderr.txt
Queen_4147,acg-cg-single,1,88.802312,88.8288795,88.86552,25839.0,3436.7549827779712,203.82468245015963,,36,12,acg-results/acg-cg-single/suitesparse/Queen_4147/Queen_4147-rtol-1e-6-001-nodes-0001-procs-55399479-3-stderr.txt
Queen_4147,acg-device-nvshmem,2,52.51311,54.434915,55.242997,25776.0,2037.2870111731843,171.91872139315308,,9,3,acg-results/acg-device-nvshmem/suitesparse/Queen_4147/Queen_4147-rtol-1e-6-001-nodes-0002-procs-55399458-2-stderr.txt
Queen_4147,acg-device-nvshmem,4,28.551494,29.295999,29.570289,26076.0,1094.9338088663906,159.94009241299247,,9,3,acg-results/acg-device-nvshmem/suitesparse/Queen_4147/Queen_4147-rtol-1e-6-001-nodes-0004-procs-55399447-1-stderr.txt
Queen_4147,acg-device-nvshmem,8,16.820274,17.022022,17.211423,26340.0,638.5829157175399,137.1190382206913,,9,3,acg-results/acg-device-nvshmem/suitesparse/Queen_4147/Queen_4147-rtol-1e-6-002-nodes-0008-procs-55399462-2-stderr.txt
Queen_4147,acg-device-nvshmem,16,10.816626,11.091413,11.348301,25891.0,417.77552045112196,104.79542943298586,,9,3,acg-results/acg-device-nvshmem/suitesparse/Queen_4147/Queen_4147-rtol-1e-6-004-nodes-0016-procs-55399463-3-stderr.txt
Queen_4147,acg-device-nvshmem,32,8.794917,8.913924,9.037977,26245.0,335.10828729281764,65.32357599795996,,9,3,acg-results/acg-device-nvshmem/suitesparse/Queen_4147/Queen_4147-rtol-1e-6-008-nodes-0032-procs-55399450-3-stderr.txt
