backend,topology,side,median_us,job_min_us,job_max_us,n_jobs,n_trials,stored_mean_us
cuda_mpi,1n1g,256,73.3242,73.3242,73.3242,1,3,73.3242
cuda_mpi,1n2g,256,99.44383333333333,99.44383333333333,99.44383333333333,1,3,99.44383333333333
cuda_mpi,1n4g,256,100.71900000000001,100.71900000000001,100.71900000000001,1,3,100.71900000000001
cuda_mpi,2n1g,256,92.75880000000001,92.75880000000001,92.75880000000001,1,3,92.75880000000001
cuda_mpi,2n4g,256,105.32266666666666,105.32266666666666,105.32266666666666,1,3,105.32266666666668
cuda_mpi,4n4g,256,108.99533333333333,108.99533333333333,108.99533333333333,1,3,108.99533333333333
cuda_mpi,8n4g,256,113.17833333333333,113.17833333333333,113.17833333333333,1,3,113.17833333333333
cuda_mpi,1n1g,512,79.68416666666667,79.68416666666667,79.68416666666667,1,3,79.68416666666667
cuda_mpi,1n2g,512,98.28426666666667,98.28426666666667,98.28426666666667,1,3,98.28426666666667
cuda_mpi,1n4g,512,101.106,101.106,101.106,1,3,101.106
cuda_mpi,2n1g,512,95.9165,95.9165,95.9165,1,3,95.9165
cuda_mpi,2n4g,512,105.08333333333333,105.08333333333333,105.08333333333333,1,3,105.08333333333333
cuda_mpi,4n4g,512,109.252,109.252,109.252,1,3,109.252
cuda_mpi,8n4g,512,112.29933333333332,112.29933333333332,112.29933333333332,1,3,112.29933333333332
cuda_mpi,1n1g,1024,95.14973333333333,95.14973333333333,95.14973333333333,1,3,95.14973333333334
cuda_mpi,1n2g,1024,108.78233333333334,108.78233333333334,108.78233333333334,1,3,108.78233333333333
cuda_mpi,1n4g,1024,106.973,106.973,106.973,1,3,106.973
cuda_mpi,2n1g,1024,106.19333333333333,106.19333333333333,106.19333333333333,1,3,106.19333333333333
cuda_mpi,2n4g,1024,105.63233333333334,105.63233333333334,105.63233333333334,1,3,105.63233333333334
cuda_mpi,4n4g,1024,109.04666666666667,109.04666666666667,109.04666666666667,1,3,109.04666666666667
cuda_mpi,8n4g,1024,113.83999999999999,113.83999999999999,113.83999999999999,1,3,113.83999999999999
cuda_mpi,1n1g,2048,136.778,136.778,136.778,1,3,136.778
cuda_mpi,1n2g,2048,126.65433333333334,126.65433333333334,126.65433333333334,1,3,126.65433333333334
cuda_mpi,1n4g,2048,121.86766666666666,121.86766666666666,121.86766666666666,1,3,121.86766666666666
cuda_mpi,2n1g,2048,124.409,124.409,124.409,1,3,124.40899999999999
cuda_mpi,2n4g,2048,114.52133333333333,114.52133333333333,114.52133333333333,1,3,114.52133333333335
cuda_mpi,4n4g,2048,114.66266666666667,114.66266666666667,114.66266666666667,1,3,114.66266666666667
cuda_mpi,8n4g,2048,115.21166666666667,115.21166666666667,115.21166666666667,1,3,115.21166666666666
cuda_mpi,1n1g,4096,297.9766666666667,297.9766666666667,297.9766666666667,1,3,297.9766666666667
cuda_mpi,1n2g,4096,216.69433333333333,216.69433333333333,216.69433333333333,1,3,216.69433333333333
cuda_mpi,1n4g,4096,163.82566666666665,163.82566666666665,163.82566666666665,1,3,163.82566666666665
cuda_mpi,2n1g,4096,215.40833333333333,215.40833333333333,215.40833333333333,1,3,215.40833333333333
cuda_mpi,2n4g,4096,133.267,133.267,133.267,1,3,133.26700000000002
cuda_mpi,4n4g,4096,130.66533333333334,130.66533333333334,130.66533333333334,1,3,130.66533333333334
cuda_mpi,8n4g,4096,124.56366666666666,124.56366666666666,124.56366666666666,1,3,124.56366666666668
cuda_mpi,1n1g,8192,955.2636666666666,955.2636666666666,955.2636666666666,1,3,955.2636666666667
cuda_mpi,1n2g,8192,541.5136666666667,541.5136666666667,541.5136666666667,1,3,541.5136666666667
cuda_mpi,1n4g,8192,321.91,321.91,321.91,1,3,321.91
cuda_mpi,2n1g,8192,541.4593333333333,541.4593333333333,541.4593333333333,1,3,541.4593333333333
cuda_mpi,2n4g,8192,223.95266666666666,223.95266666666666,223.95266666666666,1,3,223.95266666666666
cuda_mpi,4n4g,8192,175.404,175.404,175.404,1,3,175.404
cuda_mpi,8n4g,8192,145.295,145.295,145.295,1,3,145.295
cuda_mpi,1n1g,16384,3569.83,3569.83,3569.83,1,3,3569.83
cuda_mpi,1n2g,16384,1875.7833333333333,1875.7833333333333,1875.7833333333333,1,3,1875.7833333333335
cuda_mpi,1n4g,16384,991.717,991.717,991.717,1,3,991.717
