benchmark,topology,backend,bytes,on_us,off_us,off_over_on
allreduce,1n2g,cuda_mpi,16777216,232.231,32488.5,139.8973435932326
allreduce,1n2g,sycl_mpi,4,12.9631333,22.8864,1.7654990865518598
allreduce,1n2g,sycl_mpi,8,12.8626333,22.6262667,1.759069560041022
allreduce,1n2g,sycl_mpi,16,11.0232333,23.0661667,2.092504628383398
allreduce,1n2g,sycl_mpi,32,11.6817,23.233,1.988837241154969
allreduce,1n2g,sycl_mpi,64,11.8863333,23.0065667,1.93554783627008
allreduce,1n2g,sycl_mpi,128,11.8642333,24.0559,2.0275983615392996
allreduce,1n2g,sycl_mpi,256,11.9761667,24.2934333,2.0284815591285983
allreduce,1n2g,sycl_mpi,512,13.2225333,23.9308667,1.8098549012540583
allreduce,1n2g,sycl_mpi,1024,18.9986,25.0920667,1.320732406598381
allreduce,1n2g,sycl_mpi,2048,19.0139333,26.0341667,1.3692152112472171
allreduce,1n2g,sycl_mpi,4096,28.5901,28.9160667,1.0114013836957547
allreduce,1n2g,sycl_mpi,8192,28.9357,31.8734667,1.1015274107763076
allreduce,1n2g,sycl_mpi,16384,29.4894,40.0277333,1.3573600446262046
allreduce,1n2g,sycl_mpi,32768,29.5077,50.0962333,1.697734262582309
allreduce,1n2g,sycl_mpi,65536,29.8708667,71.5298667,2.394636466976032
allreduce,1n2g,sycl_mpi,131072,30.6145667,117.863333,3.849910212839955
allreduce,1n2g,sycl_mpi,262144,31.9679667,218.718667,6.841807270776467
allreduce,1n2g,sycl_mpi,524288,35.6461333,387.038667,10.857802268275755
allreduce,1n2g,sycl_mpi,1048576,41.4297667,680.869,16.43429481344388
allreduce,1n2g,sycl_mpi,2097152,53.6455333,3607.49667,67.24691597016896
allreduce,1n2g,sycl_mpi,4194304,78.7562667,7708.84,97.88224255683262
allreduce,1n2g,sycl_mpi,8388608,129.154667,15039.8667,116.4484958178089
allreduce,1n2g,sycl_mpi,16777216,231.740667,31364.0333,135.3410849551063
allreduce,1n4g,cuda_mpi,4,20.4894,23.3355,1.1389059708922662
allreduce,1n4g,cuda_mpi,8,19.1345,23.1462,1.2096579476861167
allreduce,1n4g,cuda_mpi,16,16.0611667,23.5634667,1.4671080339387796
allreduce,1n4g,cuda_mpi,32,16.6853,23.6058333,1.4147682870550724
allreduce,1n4g,cuda_mpi,64,17.3928333,23.7784,1.3671378084213572
allreduce,1n4g,cuda_mpi,128,17.3305,26.5789333,1.533650690978333
allreduce,1n4g,cuda_mpi,256,18.2528667,26.2355,1.4373358679050672
allreduce,1n4g,cuda_mpi,512,21.4213667,25.3567333,1.1837122091747767
allreduce,1n4g,cuda_mpi,1024,25.5018667,28.2057667,1.1060275324864748
allreduce,1n4g,cuda_mpi,2048,25.7201333,28.9915667,1.127193485424121
allreduce,1n4g,cuda_mpi,4096,56.5522333,31.1991,0.5516864353436596
allreduce,1n4g,cuda_mpi,8192,56.7459667,37.9464,0.6687065567252024
allreduce,1n4g,cuda_mpi,16384,57.5547333,45.3306,0.7876085493041455
allreduce,1n4g,cuda_mpi,32768,58.2976667,57.8484667,0.9922947173458659
allreduce,1n4g,cuda_mpi,65536,58.6064,84.0741333,1.434555497351825
allreduce,1n4g,cuda_mpi,131072,60.2194667,131.155333,2.177955737359594
allreduce,1n4g,cuda_mpi,262144,63.3003667,233.422667,3.6875405178339986
allreduce,1n4g,cuda_mpi,524288,68.1436,438.18,6.430244366308794
allreduce,1n4g,cuda_mpi,1048576,77.2795333,808.791333,10.465789562422216
allreduce,1n4g,cuda_mpi,2097152,97.7023333,4101.40333,41.97856071058643
allreduce,1n4g,cuda_mpi,4194304,135.525667,8202.52333,60.52376285298046
allreduce,1n4g,cuda_mpi,8388608,209.525667,16626.1333,79.35129637363237
allreduce,1n4g,cuda_mpi,16777216,361.247,34877.1667,96.54659194401614
allreduce,1n4g,sycl_mpi,4,20.0667,23.7770667,1.1849016878709502
allreduce,1n4g,sycl_mpi,8,19.2393,23.2649667,1.2092418487159096
allreduce,1n4g,sycl_mpi,16,15.1542,23.9219,1.5785656781618298
